sentiment,text,cleaned_text,tokenized_text,POS tagged,Lemma
Negative,"The hospital didn't have adequate accommodations for patients who require assistance with communication, such as those who are deaf or hard of hearing.",hospital adequate accommodations patients require assistance communication deaf hard hearing,"['hospital', 'adequate', 'accommodations', 'patients', 'require', 'assistance', 'communication', 'deaf', 'hard', 'hearing']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('require', 'v'), ('assistance', 'a'), ('communication', 'n'), ('deaf', 'r'), ('hard', 'a'), ('hearing', 'n')]",  hospital adequate accommodation patient require assistance communication deaf hard hearing
Negative,"I experienced delays in receiving necessary medical equipment or devices, causing me to experience discomfort or pain.",experienced delays receiving necessary medical equipment devices causing experience discomfort pain,"['experienced', 'delays', 'receiving', 'necessary', 'medical', 'equipment', 'devices', 'causing', 'experience', 'discomfort', 'pain']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('necessary', 'a'), ('medical', 'a'), ('equipment', 'n'), ('devices', 'n'), ('causing', 'v'), ('experience', 'n'), ('discomfort', 'n'), ('pain', 'n')]",  experienced delay receive necessary medical equipment device cause experience discomfort pain
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medication that I was prescribed.,hospital provide enough information potential risks complications medication prescribed,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medication', 'prescribed']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medication', 'n'), ('prescribed', 'v')]",  hospital provide enough information potential risk complication medication prescribe
Negative,The hospital didn't have adequate policies or procedures in place to ensure that patients receive appropriate mental health care.,hospital adequate policies procedures place ensure patients receive appropriate mental health care,"['hospital', 'adequate', 'policies', 'procedures', 'place', 'ensure', 'patients', 'receive', 'appropriate', 'mental', 'health', 'care']","[('hospital', 'n'), ('adequate', 'a'), ('policies', 'n'), ('procedures', 'v'), ('place', 'a'), ('ensure', 'v'), ('patients', 'n'), ('receive', 'a'), ('appropriate', 'a'), ('mental', 'n'), ('health', 'n'), ('care', 'n')]",  hospital adequate policy procedures place ensure patient receive appropriate mental health care
Negative,I felt that the hospital staff members didn't provide me with enough emotional support during my hospital stay.,felt hospital staff members provide enough emotional support hospital stay,"['felt', 'hospital', 'staff', 'members', 'provide', 'enough', 'emotional', 'support', 'hospital', 'stay']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('provide', 'v'), ('enough', 'a'), ('emotional', 'a'), ('support', 'n'), ('hospital', 'n'), ('stay', 'n')]",  felt hospital staff member provide enough emotional support hospital stay
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a diagnostic test that I underwent.,hospital provide enough information potential risks complications diagnostic test underwent,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'diagnostic', 'test', 'underwent']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('diagnostic', 'a'), ('test', 'n'), ('underwent', 'n')]",  hospital provide enough information potential risk complication diagnostic test underwent
Negative,The hospital didn't have adequate accommodations for patients who require specialized medical equipment or devices.,hospital adequate accommodations patients require specialized medical equipment devices,"['hospital', 'adequate', 'accommodations', 'patients', 'require', 'specialized', 'medical', 'equipment', 'devices']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('require', 'v'), ('specialized', 'a'), ('medical', 'a'), ('equipment', 'n'), ('devices', 'n')]",  hospital adequate accommodation patient require specialized medical equipment device
Negative,"I experienced delays in receiving necessary medical procedures or interventions, causing me to experience pain or discomfort for a longer period of time.",experienced delays receiving necessary medical procedures interventions causing experience pain discomfort longer period time,"['experienced', 'delays', 'receiving', 'necessary', 'medical', 'procedures', 'interventions', 'causing', 'experience', 'pain', 'discomfort', 'longer', 'period', 'time']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('necessary', 'a'), ('medical', 'a'), ('procedures', 'n'), ('interventions', 'n'), ('causing', 'v'), ('experience', 'n'), ('pain', 'n'), ('discomfort', 'n'), ('longer', 'a'), ('period', 'n'), ('time', 'n')]",  experienced delay receive necessary medical procedure intervention cause experience pain discomfort long period time
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical intervention that I received.,hospital provide enough information potential risks complications medical intervention received,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'intervention', 'received']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('intervention', 'n'), ('received', 'v')]",  hospital provide enough information potential risk complication medical intervention receive
Negative,The hospital didn't have adequate policies or procedures in place to address issues related to patient transportation or mobility.,hospital adequate policies procedures place address issues related patient transportation mobility,"['hospital', 'adequate', 'policies', 'procedures', 'place', 'address', 'issues', 'related', 'patient', 'transportation', 'mobility']","[('hospital', 'n'), ('adequate', 'a'), ('policies', 'n'), ('procedures', 'n'), ('place', 'v'), ('address', 'a'), ('issues', 'n'), ('related', 'v'), ('patient', 'a'), ('transportation', 'n'), ('mobility', 'n')]",  hospital adequate policy procedure place address issue relate patient transportation mobility
Negative,I felt that the hospital staff members didn't take my personal preferences or values into account when providing care.,felt hospital staff members take personal preferences values account providing care,"['felt', 'hospital', 'staff', 'members', 'take', 'personal', 'preferences', 'values', 'account', 'providing', 'care']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('take', 'v'), ('personal', 'a'), ('preferences', 'n'), ('values', 'n'), ('account', 'v'), ('providing', 'v'), ('care', 'n')]",  felt hospital staff member take personal preference value account provide care
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical treatment that I received.,hospital provide enough information potential risks complications medical treatment received,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'treatment', 'received']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('treatment', 'n'), ('received', 'v')]",  hospital provide enough information potential risk complication medical treatment receive
Negative,The hospital didn't have adequate accommodations for patients who require specialized care for chronic or complex conditions.,hospital adequate accommodations patients require specialized care chronic complex conditions,"['hospital', 'adequate', 'accommodations', 'patients', 'require', 'specialized', 'care', 'chronic', 'complex', 'conditions']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('require', 'v'), ('specialized', 'v'), ('care', 'n'), ('chronic', 'a'), ('complex', 'a'), ('conditions', 'n')]",  hospital adequate accommodation patient require specialize care chronic complex condition
Negative,"I experienced delays in receiving necessary medical attention, causing my condition to worsen.",experienced delays receiving necessary medical attention causing condition worsen,"['experienced', 'delays', 'receiving', 'necessary', 'medical', 'attention', 'causing', 'condition', 'worsen']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('necessary', 'a'), ('medical', 'a'), ('attention', 'n'), ('causing', 'v'), ('condition', 'n'), ('worsen', 'n')]",  experienced delay receive necessary medical attention cause condition worsen
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical procedure that was recommended for me.,hospital provide enough information potential risks complications medical procedure recommended,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'procedure', 'recommended']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('procedure', 'n'), ('recommended', 'v')]",  hospital provide enough information potential risk complication medical procedure recommend
Negative,The hospital didn't have adequate policies or procedures in place to address issues related to patient discharge or aftercare.,hospital adequate policies procedures place address issues related patient discharge aftercare,"['hospital', 'adequate', 'policies', 'procedures', 'place', 'address', 'issues', 'related', 'patient', 'discharge', 'aftercare']","[('hospital', 'n'), ('adequate', 'a'), ('policies', 'n'), ('procedures', 'n'), ('place', 'v'), ('address', 'a'), ('issues', 'n'), ('related', 'v'), ('patient', 'a'), ('discharge', 'n'), ('aftercare', 'n')]",  hospital adequate policy procedure place address issue relate patient discharge aftercare
Negative,"I felt that the hospital staff members didn't communicate with me effectively, causing confusion or misunderstandings.",felt hospital staff members communicate effectively causing confusion misunderstandings,"['felt', 'hospital', 'staff', 'members', 'communicate', 'effectively', 'causing', 'confusion', 'misunderstandings']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('communicate', 'v'), ('effectively', 'r'), ('causing', 'v'), ('confusion', 'n'), ('misunderstandings', 'n')]",  felt hospital staff member communicate effectively cause confusion misunderstanding
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medication that I received.,hospital provide enough information potential risks complications medication received,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medication', 'received']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medication', 'n'), ('received', 'v')]",  hospital provide enough information potential risk complication medication receive
Negative,The hospital didn't have adequate accommodations for patients who require specialized dietary restrictions or preferences.,hospital adequate accommodations patients require specialized dietary restrictions preferences,"['hospital', 'adequate', 'accommodations', 'patients', 'require', 'specialized', 'dietary', 'restrictions', 'preferences']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('require', 'v'), ('specialized', 'a'), ('dietary', 'a'), ('restrictions', 'n'), ('preferences', 'n')]",  hospital adequate accommodation patient require specialized dietary restriction preference
Negative,"I experienced delays in receiving necessary medical consultations or referrals, causing me to feel frustrated or anxious.",experienced delays receiving necessary medical consultations referrals causing feel frustrated anxious,"['experienced', 'delays', 'receiving', 'necessary', 'medical', 'consultations', 'referrals', 'causing', 'feel', 'frustrated', 'anxious']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('necessary', 'a'), ('medical', 'a'), ('consultations', 'n'), ('referrals', 'n'), ('causing', 'v'), ('feel', 'n'), ('frustrated', 'v'), ('anxious', 'a')]",  experienced delay receive necessary medical consultation referral cause feel frustrate anxious
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical procedure that I declined.,hospital provide enough information potential risks complications medical procedure declined,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'procedure', 'declined']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('procedure', 'n'), ('declined', 'v')]",  hospital provide enough information potential risk complication medical procedure decline
Negative,The hospital didn't have adequate policies or procedures in place to address issues related to patient falls or other accidents.,hospital adequate policies procedures place address issues related patient falls accidents,"['hospital', 'adequate', 'policies', 'procedures', 'place', 'address', 'issues', 'related', 'patient', 'falls', 'accidents']","[('hospital', 'n'), ('adequate', 'a'), ('policies', 'n'), ('procedures', 'n'), ('place', 'v'), ('address', 'a'), ('issues', 'n'), ('related', 'v'), ('patient', 'a'), ('falls', 'n'), ('accidents', 'n')]",  hospital adequate policy procedure place address issue relate patient fall accident
Negative,I felt that the hospital staff members didn't take my cultural background or beliefs into account when providing care.,felt hospital staff members take cultural background beliefs account providing care,"['felt', 'hospital', 'staff', 'members', 'take', 'cultural', 'background', 'beliefs', 'account', 'providing', 'care']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('take', 'v'), ('cultural', 'a'), ('background', 'n'), ('beliefs', 'n'), ('account', 'v'), ('providing', 'v'), ('care', 'n')]",  felt hospital staff member take cultural background belief account provide care
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical intervention that was performed on me without my consent.,hospital provide enough information potential risks complications medical intervention performed without consent,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'intervention', 'performed', 'without', 'consent']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('intervention', 'n'), ('performed', 'v'), ('without', None), ('consent', 'n')]",  hospital provide enough information potential risk complication medical intervention perform without consent
Negative,The hospital didn't have adequate accommodations for patients who require specialized mental health care.,hospital adequate accommodations patients require specialized mental health care,"['hospital', 'adequate', 'accommodations', 'patients', 'require', 'specialized', 'mental', 'health', 'care']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('require', 'v'), ('specialized', 'a'), ('mental', 'a'), ('health', 'n'), ('care', 'n')]",  hospital adequate accommodation patient require specialized mental health care
Negative,"I experienced delays in receiving necessary medical tests or screenings, causing me to feel worried or anxious about my health.",experienced delays receiving necessary medical tests screenings causing feel worried anxious health,"['experienced', 'delays', 'receiving', 'necessary', 'medical', 'tests', 'screenings', 'causing', 'feel', 'worried', 'anxious', 'health']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('necessary', 'a'), ('medical', 'a'), ('tests', 'n'), ('screenings', 'n'), ('causing', 'v'), ('feel', 'n'), ('worried', 'v'), ('anxious', 'a'), ('health', 'n')]",  experienced delay receive necessary medical test screening cause feel worry anxious health
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical procedure that was performed on me without my knowledge.,hospital provide enough information potential risks complications medical procedure performed without knowledge,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'procedure', 'performed', 'without', 'knowledge']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('procedure', 'n'), ('performed', 'v'), ('without', None), ('knowledge', 'n')]",  hospital provide enough information potential risk complication medical procedure perform without knowledge
Negative,The hospital didn't have adequate policies or procedures in place to address issues related to patient feedback or complaints.,hospital adequate policies procedures place address issues related patient feedback complaints,"['hospital', 'adequate', 'policies', 'procedures', 'place', 'address', 'issues', 'related', 'patient', 'feedback', 'complaints']","[('hospital', 'n'), ('adequate', 'a'), ('policies', 'n'), ('procedures', 'n'), ('place', 'v'), ('address', 'a'), ('issues', 'n'), ('related', 'v'), ('patient', 'a'), ('feedback', 'n'), ('complaints', 'n')]",  hospital adequate policy procedure place address issue relate patient feedback complaint
Negative,I felt that the hospital staff members didn't provide me with enough information about my care plan or treatment options.,felt hospital staff members provide enough information care plan treatment options,"['felt', 'hospital', 'staff', 'members', 'provide', 'enough', 'information', 'care', 'plan', 'treatment', 'options']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('provide', 'v'), ('enough', 'a'), ('information', 'n'), ('care', 'n'), ('plan', 'n'), ('treatment', 'n'), ('options', 'n')]",  felt hospital staff member provide enough information care plan treatment option
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical intervention that was recommended for me but ultimately not performed.,hospital provide enough information potential risks complications medical intervention recommended ultimately performed,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'intervention', 'recommended', 'ultimately', 'performed']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('intervention', 'n'), ('recommended', 'v'), ('ultimately', 'r'), ('performed', 'v')]",  hospital provide enough information potential risk complication medical intervention recommend ultimately perform
Negative,The hospital didn't have adequate accommodations for patients who require specialized rehabilitation or therapy.,hospital adequate accommodations patients require specialized rehabilitation therapy,"['hospital', 'adequate', 'accommodations', 'patients', 'require', 'specialized', 'rehabilitation', 'therapy']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('require', 'v'), ('specialized', 'a'), ('rehabilitation', 'n'), ('therapy', 'n')]",  hospital adequate accommodation patient require specialized rehabilitation therapy
Negative,"I experienced delays in receiving necessary medical follow-up or aftercare, causing me to feel neglected or abandoned.",experienced delays receiving necessary medical follow aftercare causing feel neglected abandoned,"['experienced', 'delays', 'receiving', 'necessary', 'medical', 'follow', 'aftercare', 'causing', 'feel', 'neglected', 'abandoned']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('necessary', 'a'), ('medical', 'a'), ('follow', 'n'), ('aftercare', 'n'), ('causing', 'v'), ('feel', 'n'), ('neglected', 'v'), ('abandoned', 'v')]",  experienced delay receive necessary medical follow aftercare cause feel neglect abandon
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical intervention tha I requested.,hospital provide enough information potential risks complications medical intervention tha requested,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'intervention', 'tha', 'requested']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('intervention', 'n'), ('tha', 'n'), ('requested', 'v')]",  hospital provide enough information potential risk complication medical intervention tha request
Negative,The hospital didn't have adequate policies or procedures in place to address issues related to patient comfort or pain managemnt.,hospital adequate policies procedures place address issues related patient comfort pain managemnt,"['hospital', 'adequate', 'policies', 'procedures', 'place', 'address', 'issues', 'related', 'patient', 'comfort', 'pain', 'managemnt']","[('hospital', 'n'), ('adequate', 'a'), ('policies', 'n'), ('procedures', 'n'), ('place', 'v'), ('address', 'a'), ('issues', 'n'), ('related', 'v'), ('patient', 'a'), ('comfort', 'n'), ('pain', 'n'), ('managemnt', 'n')]",  hospital adequate policy procedure place address issue relate patient comfort pain managemnt
Negative,I felt that the hospital staff members didn't take my financial or insurance situation into account when providing care.,felt hospital staff members take financial insurance situation account providing care,"['felt', 'hospital', 'staff', 'members', 'take', 'financial', 'insurance', 'situation', 'account', 'providing', 'care']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('take', 'v'), ('financial', 'a'), ('insurance', 'n'), ('situation', 'n'), ('account', 'n'), ('providing', 'v'), ('care', 'n')]",  felt hospital staff member take financial insurance situation account provide care
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical intervention that I refused.,hospital provide enough information potential risks complications medical intervention refused,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'intervention', 'refused']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('intervention', 'n'), ('refused', 'v')]",  hospital provide enough information potential risk complication medical intervention refuse
Negative,The hospital didn't have adequate accommodations for patients who require specialized communication or translation services.,hospital adequate accommodations patients require specialized communication translation services,"['hospital', 'adequate', 'accommodations', 'patients', 'require', 'specialized', 'communication', 'translation', 'services']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('require', 'v'), ('specialized', 'a'), ('communication', 'n'), ('translation', 'n'), ('services', 'n')]",  hospital adequate accommodation patient require specialized communication translation service
Negative,"I experienced delays in receiving necessary medical information or records, causing me to feel frustrated or worried about my health.",experienced delays receiving necessary medical information records causing feel frustrated worried health,"['experienced', 'delays', 'receiving', 'necessary', 'medical', 'information', 'records', 'causing', 'feel', 'frustrated', 'worried', 'health']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('necessary', 'a'), ('medical', 'a'), ('information', 'n'), ('records', 'n'), ('causing', 'v'), ('feel', 'n'), ('frustrated', 'v'), ('worried', 'a'), ('health', 'n')]",  experienced delay receive necessary medical information record cause feel frustrate worried health
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical intervention that was performed on me without my understanding.,hospital provide enough information potential risks complications medical intervention performed without understanding,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'intervention', 'performed', 'without', 'understanding']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('intervention', 'n'), ('performed', 'v'), ('without', None), ('understanding', 'v')]",  hospital provide enough information potential risk complication medical intervention perform without understand
Negative,The hospital didn't have adequate policies or procedures in place to address issues related to patient advocacy or rights.,hospital adequate policies procedures place address issues related patient advocacy rights,"['hospital', 'adequate', 'policies', 'procedures', 'place', 'address', 'issues', 'related', 'patient', 'advocacy', 'rights']","[('hospital', 'n'), ('adequate', 'a'), ('policies', 'n'), ('procedures', 'n'), ('place', 'v'), ('address', 'a'), ('issues', 'n'), ('related', 'v'), ('patient', 'a'), ('advocacy', 'n'), ('rights', 'n')]",  hospital adequate policy procedure place address issue relate patient advocacy right
Negative,I felt that the hospital staff members didn't provide me with enough information about the potential risks or complications of a medical intervention that was recommended for me but not covered by my insurance.,felt hospital staff members provide enough information potential risks complications medical intervention recommended covered insurance,"['felt', 'hospital', 'staff', 'members', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'intervention', 'recommended', 'covered', 'insurance']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('provide', 'v'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('intervention', 'n'), ('recommended', 'v'), ('covered', 'a'), ('insurance', 'n')]",  felt hospital staff member provide enough information potential risk complication medical intervention recommend covered insurance
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical intervention that I received but didn't fully understand.,hospital provide enough information potential risks complications medical intervention received fully understand,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'intervention', 'received', 'fully', 'understand']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('intervention', 'n'), ('received', 'v'), ('fully', 'r'), ('understand', 'a')]",  hospital provide enough information potential risk complication medical intervention receive fully understand
Negative,The hospital didn't have adequate accommodations for patients who require specialized end-of-life care or palliative care.,hospital adequate accommodations patients require specialized end life care palliative care,"['hospital', 'adequate', 'accommodations', 'patients', 'require', 'specialized', 'end', 'life', 'care', 'palliative', 'care']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('require', 'v'), ('specialized', 'a'), ('end', 'n'), ('life', 'n'), ('care', 'n'), ('palliative', 'a'), ('care', 'n')]",  hospital adequate accommodation patient require specialized end life care palliative care
Negative,"I experienced delays in receiving necessary medical referrals or consultations, causing me to feel frustrated or anxious about my health.",experienced delays receiving necessary medical referrals consultations causing feel frustrated anxious health,"['experienced', 'delays', 'receiving', 'necessary', 'medical', 'referrals', 'consultations', 'causing', 'feel', 'frustrated', 'anxious', 'health']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('necessary', 'a'), ('medical', 'a'), ('referrals', 'n'), ('consultations', 'n'), ('causing', 'v'), ('feel', 'n'), ('frustrated', 'v'), ('anxious', 'a'), ('health', 'n')]",  experienced delay receive necessary medical referral consultation cause feel frustrate anxious health
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical intervention that I received but later regretted.,hospital provide enough information potential risks complications medical intervention received later regretted,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'intervention', 'received', 'later', 'regretted']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('intervention', 'n'), ('received', 'v'), ('later', 'r'), ('regretted', 'v')]",  hospital provide enough information potential risk complication medical intervention receive later regret
Negative,"The hospital didn't have adequate policies or procedures in place to address issues related to patient comfort or
Negative,I felt that the hospital staff members didn't provide me with enough emotional support or counseling during my hospital stay.""",hospital adequate policies procedures place address issues related patient comfort negative felt hospital staff members provide enough emotional support counseling hospital stay,"['hospital', 'adequate', 'policies', 'procedures', 'place', 'address', 'issues', 'related', 'patient', 'comfort', 'negative', 'felt', 'hospital', 'staff', 'members', 'provide', 'enough', 'emotional', 'support', 'counseling', 'hospital', 'stay']","[('hospital', 'n'), ('adequate', 'a'), ('policies', 'n'), ('procedures', 'n'), ('place', 'v'), ('address', 'a'), ('issues', 'n'), ('related', 'v'), ('patient', 'a'), ('comfort', 'n'), ('negative', 'a'), ('felt', 'v'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('provide', 'v'), ('enough', 'a'), ('emotional', 'a'), ('support', 'n'), ('counseling', 'v'), ('hospital', 'n'), ('stay', 'n')]",  hospital adequate policy procedure place address issue relate patient comfort negative felt hospital staff member provide enough emotional support counsel hospital stay
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical intervention that I received but didn't fully consent to.,hospital provide enough information potential risks complications medical intervention received fully consent,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'intervention', 'received', 'fully', 'consent']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('intervention', 'n'), ('received', 'v'), ('fully', 'r'), ('consent', 'a')]",  hospital provide enough information potential risk complication medical intervention receive fully consent
Negative,The hospital didn't have adequate accommodations for patients who require specialized wound care or treatment.,hospital adequate accommodations patients require specialized wound care treatment,"['hospital', 'adequate', 'accommodations', 'patients', 'require', 'specialized', 'wound', 'care', 'treatment']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('require', 'v'), ('specialized', 'v'), ('wound', 'n'), ('care', 'n'), ('treatment', 'n')]",  hospital adequate accommodation patient require specialize wound care treatment
Negative,"I experienced delays in receiving necessary medical treatments or interventions, causing me to feel worried or anxious about my health.",experienced delays receiving necessary medical treatments interventions causing feel worried anxious health,"['experienced', 'delays', 'receiving', 'necessary', 'medical', 'treatments', 'interventions', 'causing', 'feel', 'worried', 'anxious', 'health']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('necessary', 'a'), ('medical', 'a'), ('treatments', 'n'), ('interventions', 'n'), ('causing', 'v'), ('feel', 'n'), ('worried', 'v'), ('anxious', 'a'), ('health', 'n')]",  experienced delay receive necessary medical treatment intervention cause feel worry anxious health
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical intervention that was performed on me but didn't address my underlying health concerns.,hospital provide enough information potential risks complications medical intervention performed address underlying health concerns,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'intervention', 'performed', 'address', 'underlying', 'health', 'concerns']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('intervention', 'n'), ('performed', 'v'), ('address', 'a'), ('underlying', 'a'), ('health', 'n'), ('concerns', 'n')]",  hospital provide enough information potential risk complication medical intervention perform address underlying health concern
Negative,The hospital didn't have adequate policies or procedures in place to address issues related to patient privacy or confidentiality.,hospital adequate policies procedures place address issues related patient privacy confidentiality,"['hospital', 'adequate', 'policies', 'procedures', 'place', 'address', 'issues', 'related', 'patient', 'privacy', 'confidentiality']","[('hospital', 'n'), ('adequate', 'a'), ('policies', 'n'), ('procedures', 'n'), ('place', 'v'), ('address', 'a'), ('issues', 'n'), ('related', 'v'), ('patient', 'a'), ('privacy', 'n'), ('confidentiality', 'n')]",  hospital adequate policy procedure place address issue relate patient privacy confidentiality
